cell,build,seed,role,prompt_tokens,input_sha256,note
step7-fixed_r6n34,fixed,1,Bsalt,30050,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r6n34,fixed,2,A,27750,a61449f77e2b46b6800a4c6d049d0cbdc5464a072826de828f8eca013326942a,
step7-fixed_r6n34,fixed,2,B,30050,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r6n34,fixed,2,Bsalt,30050,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,0,A,16327,ebccb646879cc213a902324dda6adb012e086f6c4cdc71abb45c8b11b958f894,
step7-fixed_r7,fixed,0,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,0,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,1,A,16327,cdd3ffb4e4cbb04afcadf1469a18d38571e55f450ab6ae53e5526854c9948661,
step7-fixed_r7,fixed,1,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,1,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,2,A,16327,1ca00889f528f3999213873c7d60048b904eecbf2ccee8350d02474717b4f86b,
step7-fixed_r7,fixed,2,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r7,fixed,2,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,0,A,16328,6e25dd29d0efff78156f2c77c209863e6f34eaacc79b49ff8dd0668f65646614,
step7-fixed_r8,fixed,0,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,0,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,1,A,16328,bf855ab1c471013ef2b11f9c9db2fd8dcb4334bcd202fd702b956627a7b5cd70,
step7-fixed_r8,fixed,1,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,1,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,2,A,16328,758aa33ebfbfe3089d1601229692dba1787aaf6fc767053b5d5040a7496f3482,
step7-fixed_r8,fixed,2,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8,fixed,2,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,0,A,27752,a77bb0bbac40efedebb883b2dae34836b168913f3ffb70f21eab36fdb365b7ef,
step7-fixed_r8n34,fixed,0,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,0,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,1,A,27752,374c5d760baff03ebbaaa5a9fe8404baca4c03760ec7409ca6ad490f7af84aee,
step7-fixed_r8n34,fixed,1,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,1,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,2,A,27752,24ce47c58d126ab82cbac0e7e64ca09c09310d94efab6a0d63134bd0e0b61486,
step7-fixed_r8n34,fixed,2,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-fixed_r8n34,fixed,2,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,0,A,16330,3d6313156da10957042b414cdff93e50d720568e2e6e601ea74827b1c08c9272,
step7-unfixed_r10,unfixed,0,B,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,0,Bsalt,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,1,A,16330,3920ec5c97359f697e9f73333d7dc4aad498684d04c7dac2912b9e2ffdf9b223,
step7-unfixed_r10,unfixed,1,B,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,1,Bsalt,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,2,A,16330,e1ff0f66d8c0140a88623f9cb9b573ecbdb7a6cc7f426f1ca4e2f26d61c3a36b,
step7-unfixed_r10,unfixed,2,B,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r10,unfixed,2,Bsalt,18630,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,0,A,16324,9241bef6333750a5b8d4ec7c72fecddb74b8218ede8faaa8dffa533ae717d694,
step7-unfixed_r4,unfixed,0,B,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,0,Bsalt,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,1,A,16324,1da1af9a20ad29dd0fbb1b80c2381ad27b5b79919933a15b989fa29a874a8382,
step7-unfixed_r4,unfixed,1,B,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,1,Bsalt,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,2,A,16324,afc3b0eeb2791ebaaf0df39fb3f5c2094882a54d5747861a0ee13a8c5e2b4ca3,
step7-unfixed_r4,unfixed,2,B,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r4,unfixed,2,Bsalt,18624,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,0,A,16326,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,
step7-unfixed_r6,unfixed,0,B,18626,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,0,Bsalt,18626,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,1,A,16326,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,
step7-unfixed_r6,unfixed,1,B,18326,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,1,Bsalt,18326,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,2,A,16326,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,
step7-unfixed_r6,unfixed,2,B,18326,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6,unfixed,2,Bsalt,18326,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,0,A,27750,2802af0fa3846656c412816f2943f5e5de5d0d1a11d24b172a082a1466951653,
step7-unfixed_r6n34,unfixed,0,B,30050,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,0,Bsalt,30050,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,1,A,27750,2411973ad65be985fe2ccea3b957c75737d76aed138279603936bafdbd0aa291,
step7-unfixed_r6n34,unfixed,1,B,29750,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,1,Bsalt,29750,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,2,A,27750,a61449f77e2b46b6800a4c6d049d0cbdc5464a072826de828f8eca013326942a,
step7-unfixed_r6n34,unfixed,2,B,29750,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r6n34,unfixed,2,Bsalt,29750,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,0,A,16327,ebccb646879cc213a902324dda6adb012e086f6c4cdc71abb45c8b11b958f894,
step7-unfixed_r7,unfixed,0,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,0,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,1,A,16327,cdd3ffb4e4cbb04afcadf1469a18d38571e55f450ab6ae53e5526854c9948661,
step7-unfixed_r7,unfixed,1,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,1,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,2,A,16327,1ca00889f528f3999213873c7d60048b904eecbf2ccee8350d02474717b4f86b,
step7-unfixed_r7,unfixed,2,B,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r7,unfixed,2,Bsalt,18627,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,0,A,16328,6e25dd29d0efff78156f2c77c209863e6f34eaacc79b49ff8dd0668f65646614,
step7-unfixed_r8,unfixed,0,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,0,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,1,A,16328,bf855ab1c471013ef2b11f9c9db2fd8dcb4334bcd202fd702b956627a7b5cd70,
step7-unfixed_r8,unfixed,1,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,1,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,2,A,16328,758aa33ebfbfe3089d1601229692dba1787aaf6fc767053b5d5040a7496f3482,
step7-unfixed_r8,unfixed,2,B,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8,unfixed,2,Bsalt,18628,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,0,A,27752,a77bb0bbac40efedebb883b2dae34836b168913f3ffb70f21eab36fdb365b7ef,
step7-unfixed_r8n34,unfixed,0,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,0,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,1,A,27752,374c5d760baff03ebbaaa5a9fe8404baca4c03760ec7409ca6ad490f7af84aee,
step7-unfixed_r8n34,unfixed,1,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,1,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,2,A,27752,24ce47c58d126ab82cbac0e7e64ca09c09310d94efab6a0d63134bd0e0b61486,
step7-unfixed_r8n34,unfixed,2,B,30052,,not frozen: B = A ids + THIS arm's reply + suffix
step7-unfixed_r8n34,unfixed,2,Bsalt,30052,,not frozen: B = A ids + THIS arm's reply + suffix
B-frozen-r6-N20,unfixed,0,A,16326,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,0,B,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,0,B-salted,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,1,A,16326,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,1,B,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,1,B-salted,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,2,A,16326,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,2,B,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed,2,B-salted,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,0,A,16326,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,0,B,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,0,B-salted,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,1,A,16326,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,1,B,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,1,B-salted,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,2,A,16326,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,2,B,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
B-frozen-r6-N20,fixed,2,B-salted,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,0,A,16326,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,0,B,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,0,B-salted,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,1,A,16326,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,1,B,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,1,B-salted,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,2,A,16326,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,2,B,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
B-frozen-r6-N20,unfixed-replicate,2,B-salted,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,frozen: identical ids sent to every arm
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,0,A,16326,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,0,B,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,0,B-salted,18626,739359cc4f67003e09a4b1dcf3d982a2104d45d0ed64ba92caab1e02d083e9eb,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,1,A,16326,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,1,B,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,1,B-salted,18626,2ef571dd5d694898db2d49d961778d1bda2cc603a02a26d56466098458a546f1,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,2,A,16326,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,2,B,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
D-mambanone-r6-N20,unfixed-mamba-none-noprefix,2,B-salted,18626,7fa6988b460e4b687eff038a7e268222c5c70a49347f5a801f1f8d3e4aa44332,"frozen: identical ids; prefix caching OFF, mamba_cache_mode=none"
